admin2Name_fr,admin2Pcode,admin2RefName,admin2Name_MAJ,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,F,M,T,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Batha Ouest,TD0101,Batha Ouest,BATHA OUEST,<Null>,<Null>,Batha,TD01,Tchad,TD,142260 ,136963 ,279223 ,25336 ,20812 ,24097 ,18154 ,11036 ,8121 ,7611 ,6642 ,5334 ,4298 ,3298 ,2476 ,1715 ,1210 ,904 ,602 ,614 ,26469 ,21708 ,24675 ,18412 ,10893 ,7281 ,4854 ,3764 ,3959 ,3704 ,3140 ,2550 ,1818 ,1336 ,1037 ,694 ,669 ,51806 ,42520 ,48772 ,36565 ,21929 ,15402 ,12465 ,10407 ,9293 ,8002 ,6438 ,5026 ,3534 ,2546 ,1941 ,1296 ,1282 
Batha Est,TD0102,Batha Est,BATHA EST,<Null>,<Null>,Batha,TD01,Tchad,TD,129764 ,124932 ,254696 ,23111 ,18984 ,21980 ,16559 ,10066 ,7408 ,6942 ,6059 ,4865 ,3921 ,3008 ,2258 ,1565 ,1104 ,825 ,549 ,560 ,24144 ,19801 ,22507 ,16794 ,9936 ,6641 ,4428 ,3434 ,3612 ,3379 ,2864 ,2326 ,1658 ,1219 ,946 ,633 ,610 ,47255 ,38785 ,44487 ,33353 ,20002 ,14049 ,11370 ,9492 ,8477 ,7299 ,5873 ,4584 ,3223 ,2322 ,1770 ,1182 ,1169 
Fitri,TD0103,Fitri,FITRI,<Null>,<Null>,Batha,TD01,Tchad,TD,79438 ,76480 ,155918 ,14148 ,11621 ,13456 ,10137 ,6162 ,4535 ,4250 ,3709 ,2978 ,2400 ,1842 ,1382 ,958 ,676 ,505 ,336 ,343 ,14781 ,12122 ,13778 ,10281 ,6083 ,4066 ,2710 ,2102 ,2211 ,2068 ,1753 ,1424 ,1015 ,746 ,579 ,388 ,373 ,28929 ,23744 ,27234 ,20418 ,12245 ,8601 ,6960 ,5811 ,5189 ,4468 ,3595 ,2806 ,1973 ,1422 ,1084 ,724 ,716 
Borkou,TD0201,Borkou,BORKOU,<Null>,<Null>,Borkou,TD02,Tchad,TD,48121 ,52772 ,100893 ,9586 ,8121 ,4895 ,4715 ,4090 ,3377 ,2908 ,2481 ,2110 ,1756 ,1378 ,1029 ,663 ,427 ,286 ,172 ,127 ,10015 ,8470 ,6004 ,5772 ,4822 ,3825 ,2999 ,2387 ,1785 ,1479 ,1499 ,1298 ,888 ,619 ,448 ,275 ,187 ,19600 ,16591 ,10899 ,10487 ,8913 ,7202 ,5907 ,4868 ,3895 ,3234 ,2877 ,2327 ,1550 ,1046 ,734 ,448 ,314 
Borkou Yala,TD0202,Borkou Yala,BORKOU YALA,<Null>,<Null>,Borkou,TD02,Tchad,TD,17749 ,19460 ,37209 ,3535 ,2995 ,1805 ,1739 ,1509 ,1246 ,1072 ,915 ,778 ,648 ,508 ,380 ,244 ,158 ,106 ,64 ,47 ,3693 ,3124 ,2214 ,2129 ,1778 ,1410 ,1106 ,880 ,658 ,545 ,553 ,479 ,327 ,228 ,165 ,102 ,69 ,7229 ,6119 ,4019 ,3868 ,3287 ,2656 ,2178 ,1795 ,1436 ,1193 ,1061 ,858 ,572 ,386 ,271 ,165 ,116 
Baguirmi,TD0301,Baguirmi,BAGUIRMI,<Null>,<Null>,Chari-Baguirmi,TD03,Tchad,TD,153607 ,152798 ,306405 ,29493 ,23949 ,20564 ,18295 ,13162 ,9981 ,8876 ,7495 ,5829 ,4602 ,3525 ,2647 ,1884 ,1322 ,912 ,569 ,502 ,30812 ,24981 ,20956 ,18531 ,12984 ,9241 ,6797 ,5416 ,4935 ,4365 ,3727 ,3081 ,2393 ,1804 ,1261 ,796 ,718 ,60306 ,48930 ,41520 ,36825 ,26146 ,19223 ,15673 ,12912 ,10764 ,8967 ,7252 ,5728 ,4277 ,3126 ,2174 ,1365 ,1220 
Chari,TD0302,Chari,CHARI,<Null>,<Null>,Chari-Baguirmi,TD03,Tchad,TD,133967 ,133260 ,267227 ,25722 ,20887 ,17934 ,15955 ,11479 ,8705 ,7741 ,6537 ,5084 ,4014 ,3074 ,2309 ,1643 ,1153 ,796 ,496 ,438 ,26872 ,21786 ,18277 ,16161 ,11324 ,8060 ,5928 ,4724 ,4304 ,3807 ,3250 ,2687 ,2087 ,1573 ,1100 ,694 ,626 ,52594 ,42673 ,36211 ,32116 ,22803 ,16764 ,13668 ,11261 ,9388 ,7820 ,6325 ,4995 ,3730 ,2726 ,1896 ,1190 ,1064 
Loug-Chari,TD0303,Loug-Chari,LOUG-CHARI,<Null>,<Null>,Chari-Baguirmi,TD03,Tchad,TD,136086 ,135370 ,271456 ,26129 ,21218 ,18218 ,16208 ,11661 ,8842 ,7863 ,6641 ,5164 ,4077 ,3123 ,2345 ,1669 ,1171 ,808 ,504 ,445 ,27298 ,22131 ,18566 ,16417 ,11503 ,8187 ,6022 ,4799 ,4372 ,3867 ,3302 ,2729 ,2120 ,1598 ,1118 ,705 ,636 ,53428 ,43349 ,36784 ,32625 ,23164 ,17030 ,13885 ,11439 ,9536 ,7944 ,6425 ,5075 ,3789 ,2770 ,1926 ,1209 ,1081 
Guéra,TD0401,Guera,GUERA,<Null>,<Null>,Guéra,TD04,Tchad,TD,103889 ,99777 ,203666 ,12181 ,10435 ,39992 ,15165 ,4262 ,4424 ,3709 ,3164 ,2692 ,2239 ,1757 ,1313 ,846 ,545 ,365 ,220 ,580 ,12726 ,10885 ,36563 ,14549 ,4609 ,4419 ,3386 ,2695 ,2015 ,1669 ,1693 ,1465 ,1002 ,699 ,506 ,311 ,585 ,24906 ,21320 ,76555 ,29714 ,8871 ,8844 ,7095 ,5859 ,4707 ,3908 ,3450 ,2778 ,1847 ,1243 ,871 ,531 ,1166 
Abtouyour,TD0402,Abtouyour,ABTOUYOUR,<Null>,<Null>,Guéra,TD04,Tchad,TD,100869 ,96876 ,197745 ,11827 ,10132 ,38830 ,14724 ,4138 ,4296 ,3601 ,3072 ,2613 ,2174 ,1706 ,1275 ,821 ,529 ,354 ,213 ,564 ,12356 ,10568 ,35500 ,14126 ,4475 ,4291 ,3288 ,2617 ,1957 ,1620 ,1643 ,1423 ,973 ,678 ,491 ,302 ,568 ,24182 ,20700 ,74329 ,28850 ,8613 ,8587 ,6889 ,5689 ,4570 ,3794 ,3350 ,2697 ,1794 ,1207 ,845 ,516 ,1132 
Barh-Signaka,TD0403,Barh-Signaka,BARH-SIGNAKA,<Null>,<Null>,Guéra,TD04,Tchad,TD,62395 ,59926 ,122321 ,7316 ,6267 ,24019 ,9108 ,2560 ,2657 ,2228 ,1900 ,1617 ,1345 ,1055 ,788 ,508 ,327 ,219 ,132 ,349 ,7643 ,6537 ,21960 ,8738 ,2768 ,2654 ,2034 ,1619 ,1210 ,1002 ,1017 ,880 ,602 ,420 ,304 ,187 ,351 ,14959 ,12805 ,45979 ,17846 ,5328 ,5312 ,4261 ,3519 ,2827 ,2347 ,2072 ,1669 ,1109 ,747 ,523 ,319 ,700 
