,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3,Ethiopia,Somali,Afder
1,2009-07-01,3,Ethiopia,SNNP,Alle
2,2009-07-01,3,Ethiopia,SNNP,Amaro
3,2009-07-01,3,Ethiopia,Oromia,Arsi
4,2009-07-01,3,Ethiopia,Oromia,Bale
5,2009-07-01,3,Ethiopia,Oromia,Borena
197,2009-07-01,1,Ethiopia,Oromia,Buno Bedele
7,2009-07-01,3,Ethiopia,SNNP,Burji
302,2009-07-01,2,Ethiopia,Tigray,Central
198,2009-07-01,1,Ethiopia,Amhara,Central Gondar
10,2009-07-01,3,Ethiopia,Somali,Daawa
304,2009-07-01,2,Ethiopia,SNNP,Dawuro
12,2009-07-01,3,Ethiopia,SNNP,Derashe
305,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
200,2009-07-01,1,Ethiopia,Amhara,East Gojam
15,2009-07-01,3,Ethiopia,Oromia,East Hararge
201,2009-07-01,1,Ethiopia,Oromia,East Shewa
202,2009-07-01,1,Ethiopia,Oromia,East Wellega
18,2009-07-01,3,Ethiopia,Tigray,Eastern
149,2009-07-01,4,Ethiopia,Somali,Erer
20,2009-07-01,3,Ethiopia,Somali,Fafan
21,2009-07-01,3,Ethiopia,SNNP,Gamo
22,2009-07-01,3,Ethiopia,SNNP,Gedeo
315,2009-07-01,2,Ethiopia,SNNP,Gofa
24,2009-07-01,3,Ethiopia,Oromia,Guji
25,2009-07-01,3,Ethiopia,SNNP,Guraghe
26,2009-07-01,3,Ethiopia,SNNP,Hadiya
27,2009-07-01,3,Ethiopia,SNNP,Halaba Special
317,2009-07-01,2,Ethiopia,Harari,Harari
151,2009-07-01,4,Ethiopia,Somali,Jarar
212,2009-07-01,1,Ethiopia,Oromia,Jimma
215,2009-07-01,1,Ethiopia,Benishangul Gumz,Kemashi
32,2009-07-01,3,Ethiopia,SNNP,Kembata Tibaro
33,2009-07-01,3,Ethiopia,SNNP,Konso
34,2009-07-01,3,Ethiopia,Somali,Liban
35,2009-07-01,3,Ethiopia,Tigray,Mekele Special
330,2009-07-01,2,Ethiopia,SNNP,Mirab Omo
153,2009-07-01,4,Ethiopia,Somali,Nogob
38,2009-07-01,3,Ethiopia,Amhara,North Gondar
332,2009-07-01,2,Ethiopia,Amhara,North Shewa
40,2009-07-01,3,Ethiopia,Amhara,North Wello
335,2009-07-01,2,Ethiopia,Tigray,North Western
336,2009-07-01,2,Ethiopia,Gambela,Nuwer
43,2009-07-01,3,Ethiopia,Amhara,Oromia
155,2009-07-01,4,Ethiopia,Somali,Shabelle
45,2009-07-01,3,Ethiopia,SNNP,Sidama
46,2009-07-01,3,Ethiopia,SNNP,Siltie
47,2009-07-01,3,Ethiopia,Somali,Siti
48,2009-07-01,3,Ethiopia,Tigray,South Eastern
229,2009-07-01,1,Ethiopia,Amhara,South Gondar
50,2009-07-01,3,Ethiopia,SNNP,South Omo
51,2009-07-01,3,Ethiopia,Amhara,South Wello
232,2009-07-01,1,Ethiopia,Oromia,South West Shewa
53,2009-07-01,3,Ethiopia,Tigray,Southern
54,2009-07-01,3,Ethiopia,Amhara,Wag Hamra
55,2009-07-01,3,Ethiopia,Oromia,West Arsi
56,2009-07-01,3,Ethiopia,Oromia,West Guji
57,2009-07-01,3,Ethiopia,Oromia,West Hararge
238,2009-07-01,1,Ethiopia,Oromia,West Wellega
239,2009-07-01,1,Ethiopia,Tigray,Western
60,2009-07-01,3,Ethiopia,SNNP,Wolayita
240,2009-07-01,1,Ethiopia,SNNP,Yem Special
352,2009-07-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
63,2009-07-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
353,2009-07-01,2,Ethiopia,Afar,Zone 3 (Gabi Rasu)
65,2009-07-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
66,2009-07-01,3,Ethiopia,Afar,Zone 5 (Hari Rasu)
295,2009-07-01,2,Ethiopia,Gambela,Agnewak
194,2009-07-01,1,Ethiopia,SNNP,Basketo
195,2009-07-01,1,Ethiopia,SNNP,Bench Maji
147,2009-07-01,4,Ethiopia,Somali,Doolo
312,2009-07-01,2,Ethiopia,Gambela,Etang Special woreda
211,2009-07-01,1,Ethiopia,Oromia,Ilu Aba Bora
213,2009-07-01,1,Ethiopia,SNNP,Kefa
216,2009-07-01,1,Ethiopia,SNNP,Konta Special
219,2009-07-01,1,Ethiopia,Gambela,Mejenger
152,2009-07-01,4,Ethiopia,Somali,Korahe
204,2009-07-01,1,Ethiopia,Oromia,Finfine Special
183,2009-07-01,99,Ethiopia,Addis Ababa,Region 14
234,2009-07-01,1,Ethiopia,Amhara,West Gojam
191,2009-07-01,1,Ethiopia,Benishangul Gumz,Asosa
192,2009-07-01,1,Ethiopia,Amhara,Awi
210,2009-07-01,1,Ethiopia,Oromia,Horo Gudru Wellega
214,2009-07-01,1,Ethiopia,Oromia,Kelem Wellega
218,2009-07-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
220,2009-07-01,1,Ethiopia,Benishangul Gumz,Metekel
333,2009-07-01,2,Ethiopia,Oromia,North Shewa
227,2009-07-01,1,Ethiopia,SNNP,Sheka
235,2009-07-01,1,Ethiopia,Amhara,West Gondar
348,2009-07-01,2,Ethiopia,Oromia,West Shewa
306,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
157,2009-10-01,4,Ethiopia,Somali,Afder
69,2009-10-01,3,Ethiopia,SNNP,Alle
70,2009-10-01,3,Ethiopia,SNNP,Amaro
71,2009-10-01,3,Ethiopia,Oromia,Arsi
72,2009-10-01,3,Ethiopia,Oromia,Bale
75,2009-10-01,3,Ethiopia,Oromia,Borena
250,2009-10-01,1,Ethiopia,Oromia,Buno Bedele
77,2009-10-01,3,Ethiopia,SNNP,Burji
362,2009-10-01,2,Ethiopia,Tigray,Central
251,2009-10-01,1,Ethiopia,Amhara,Central Gondar
80,2009-10-01,3,Ethiopia,Somali,Daawa
364,2009-10-01,2,Ethiopia,SNNP,Dawuro
82,2009-10-01,3,Ethiopia,SNNP,Derashe
365,2009-10-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
253,2009-10-01,1,Ethiopia,Amhara,East Gojam
86,2009-10-01,3,Ethiopia,Oromia,East Hararge
254,2009-10-01,1,Ethiopia,Oromia,East Shewa
255,2009-10-01,1,Ethiopia,Oromia,East Wellega
89,2009-10-01,3,Ethiopia,Tigray,Eastern
164,2009-10-01,4,Ethiopia,Somali,Erer
92,2009-10-01,3,Ethiopia,Somali,Fafan
93,2009-10-01,3,Ethiopia,SNNP,Gamo
94,2009-10-01,3,Ethiopia,SNNP,Gedeo
375,2009-10-01,2,Ethiopia,SNNP,Gofa
96,2009-10-01,3,Ethiopia,Oromia,Guji
97,2009-10-01,3,Ethiopia,SNNP,Guraghe
98,2009-10-01,3,Ethiopia,SNNP,Hadiya
99,2009-10-01,3,Ethiopia,SNNP,Halaba Special
377,2009-10-01,2,Ethiopia,Harari,Harari
166,2009-10-01,4,Ethiopia,Somali,Jarar
265,2009-10-01,1,Ethiopia,Oromia,Jimma
268,2009-10-01,1,Ethiopia,Benishangul Gumz,Kemashi
106,2009-10-01,3,Ethiopia,SNNP,Kembata Tibaro
107,2009-10-01,3,Ethiopia,SNNP,Konso
168,2009-10-01,4,Ethiopia,Somali,Liban
111,2009-10-01,3,Ethiopia,Tigray,Mekele Special
386,2009-10-01,2,Ethiopia,SNNP,Mirab Omo
169,2009-10-01,4,Ethiopia,Somali,Nogob
114,2009-10-01,3,Ethiopia,Amhara,North Gondar
388,2009-10-01,2,Ethiopia,Amhara,North Shewa
116,2009-10-01,3,Ethiopia,Amhara,North Wello
391,2009-10-01,2,Ethiopia,Tigray,North Western
118,2009-10-01,3,Ethiopia,Gambela,Nuwer
119,2009-10-01,3,Ethiopia,Amhara,Oromia
171,2009-10-01,4,Ethiopia,Somali,Shabelle
121,2009-10-01,3,Ethiopia,SNNP,Sidama
122,2009-10-01,3,Ethiopia,SNNP,Siltie
123,2009-10-01,3,Ethiopia,Somali,Siti
124,2009-10-01,3,Ethiopia,Tigray,South Eastern
282,2009-10-01,1,Ethiopia,Amhara,South Gondar
126,2009-10-01,3,Ethiopia,SNNP,South Omo
127,2009-10-01,3,Ethiopia,Amhara,South Wello
285,2009-10-01,1,Ethiopia,Oromia,South West Shewa
129,2009-10-01,3,Ethiopia,Tigray,Southern
130,2009-10-01,3,Ethiopia,Amhara,Wag Hamra
131,2009-10-01,3,Ethiopia,Oromia,West Arsi
132,2009-10-01,3,Ethiopia,Oromia,West Guji
133,2009-10-01,3,Ethiopia,Oromia,West Hararge
291,2009-10-01,1,Ethiopia,Oromia,West Wellega
292,2009-10-01,1,Ethiopia,Tigray,Western
136,2009-10-01,3,Ethiopia,SNNP,Wolayita
293,2009-10-01,1,Ethiopia,SNNP,Yem Special
408,2009-10-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
139,2009-10-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
409,2009-10-01,2,Ethiopia,Afar,Zone 3 (Gabi Rasu)
141,2009-10-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
142,2009-10-01,3,Ethiopia,Afar,Zone 5 (Hari Rasu)
68,2009-10-01,3,Ethiopia,Gambela,Agnewak
247,2009-10-01,1,Ethiopia,SNNP,Basketo
248,2009-10-01,1,Ethiopia,SNNP,Bench Maji
162,2009-10-01,4,Ethiopia,Somali,Doolo
91,2009-10-01,3,Ethiopia,Gambela,Etang Special woreda
264,2009-10-01,1,Ethiopia,Oromia,Ilu Aba Bora
266,2009-10-01,1,Ethiopia,SNNP,Kefa
269,2009-10-01,1,Ethiopia,SNNP,Konta Special
272,2009-10-01,1,Ethiopia,Gambela,Mejenger
167,2009-10-01,4,Ethiopia,Somali,Korahe
257,2009-10-01,1,Ethiopia,Oromia,Finfine Special
417,2009-10-01,99,Ethiopia,Addis Ababa,Region 14
287,2009-10-01,1,Ethiopia,Amhara,West Gojam
244,2009-10-01,1,Ethiopia,Benishangul Gumz,Asosa
245,2009-10-01,1,Ethiopia,Amhara,Awi
263,2009-10-01,1,Ethiopia,Oromia,Horo Gudru Wellega
267,2009-10-01,1,Ethiopia,Oromia,Kelem Wellega
271,2009-10-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
273,2009-10-01,1,Ethiopia,Benishangul Gumz,Metekel
389,2009-10-01,2,Ethiopia,Oromia,North Shewa
280,2009-10-01,1,Ethiopia,SNNP,Sheka
288,2009-10-01,1,Ethiopia,Amhara,West Gondar
404,2009-10-01,2,Ethiopia,Oromia,West Shewa
366,2009-10-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
