,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
65,2020-06-01,3.0,Ethiopia,Somali,Afder
67,2020-06-01,3.0,Ethiopia,SNNP,Alle
69,2020-06-01,3.0,Ethiopia,Oromia,Arsi
71,2020-06-01,3.0,Ethiopia,Oromia,Bale
72,2020-06-01,3.0,Ethiopia,SNNP,Basketo
73,2020-06-01,3.0,Ethiopia,Oromia,Borena
75,2020-06-01,3.0,Ethiopia,Tigray,Central
76,2020-06-01,3.0,Ethiopia,Amhara,Central Gondar
77,2020-06-01,3.0,Ethiopia,Somali,Daawa
9,2020-06-01,2.0,Ethiopia,SNNP,Dawuro
78,2020-06-01,3.0,Ethiopia,SNNP,Derashe
11,2020-06-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
12,2020-06-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
79,2020-06-01,3.0,Ethiopia,Somali,Doolo
80,2020-06-01,3.0,Ethiopia,Amhara,East Gojam
81,2020-06-01,3.0,Ethiopia,Oromia,East Hararge
82,2020-06-01,3.0,Ethiopia,Oromia,East Shewa
84,2020-06-01,3.0,Ethiopia,Somali,Erer
85,2020-06-01,3.0,Ethiopia,Somali,Fafan
86,2020-06-01,3.0,Ethiopia,SNNP,Gamo
87,2020-06-01,3.0,Ethiopia,SNNP,Gedeo
88,2020-06-01,3.0,Ethiopia,SNNP,Gofa
89,2020-06-01,3.0,Ethiopia,Oromia,Guji
90,2020-06-01,3.0,Ethiopia,SNNP,Guraghe
91,2020-06-01,3.0,Ethiopia,SNNP,Hadiya
92,2020-06-01,3.0,Ethiopia,SNNP,Halaba Special
93,2020-06-01,3.0,Ethiopia,Harari,Harari
94,2020-06-01,3.0,Ethiopia,Somali,Jarar
28,2020-06-01,2.0,Ethiopia,Oromia,Jimma
29,2020-06-01,2.0,Ethiopia,SNNP,Kefa
95,2020-06-01,3.0,Ethiopia,SNNP,Kembata Tibaro
96,2020-06-01,3.0,Ethiopia,SNNP,Konso
32,2020-06-01,2.0,Ethiopia,SNNP,Konta Special
97,2020-06-01,3.0,Ethiopia,Somali,Korahe
98,2020-06-01,3.0,Ethiopia,Somali,Liban
35,2020-06-01,2.0,Ethiopia,Benishangul Gumz,Metekel
276,2020-06-01,4.0,Ethiopia,SNNP,Mirab Omo
102,2020-06-01,3.0,Ethiopia,Somali,Nogob
103,2020-06-01,3.0,Ethiopia,Amhara,North Gondar
104,2020-06-01,3.0,Ethiopia,Amhara,North Shewa
105,2020-06-01,3.0,Ethiopia,Oromia,North Shewa
106,2020-06-01,3.0,Ethiopia,Amhara,North Wello
107,2020-06-01,3.0,Ethiopia,Tigray,North Western
43,2020-06-01,2.0,Ethiopia,Amhara,Oromia
108,2020-06-01,3.0,Ethiopia,Somali,Shabelle
109,2020-06-01,3.0,Ethiopia,SNNP,Sidama
110,2020-06-01,3.0,Ethiopia,SNNP,Siltie
111,2020-06-01,3.0,Ethiopia,Somali,Siti
113,2020-06-01,3.0,Ethiopia,Amhara,South Gondar
114,2020-06-01,3.0,Ethiopia,SNNP,South Omo
115,2020-06-01,3.0,Ethiopia,Amhara,South Wello
51,2020-06-01,2.0,Ethiopia,Oromia,South West Shewa
116,2020-06-01,3.0,Ethiopia,Tigray,Southern
117,2020-06-01,3.0,Ethiopia,Amhara,Wag Hamra
118,2020-06-01,3.0,Ethiopia,Oromia,West Arsi
119,2020-06-01,3.0,Ethiopia,Amhara,West Gondar
120,2020-06-01,3.0,Ethiopia,Oromia,West Guji
121,2020-06-01,3.0,Ethiopia,Oromia,West Hararge
122,2020-06-01,3.0,Ethiopia,Tigray,Western
123,2020-06-01,3.0,Ethiopia,SNNP,Wolayita
60,2020-06-01,2.0,Ethiopia,SNNP,Yem Special
124,2020-06-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
126,2020-06-01,3.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
127,2020-06-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
128,2020-06-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
272,2020-06-01,4.0,Ethiopia,Gambela,Agnewak
68,2020-06-01,3.0,Ethiopia,SNNP,Amaro
70,2020-06-01,3.0,Ethiopia,Benishangul Gumz,Asosa
74,2020-06-01,3.0,Ethiopia,SNNP,Burji
83,2020-06-01,3.0,Ethiopia,Tigray,Eastern
275,2020-06-01,4.0,Ethiopia,Benishangul Gumz,Mao Komo Special
100,2020-06-01,3.0,Ethiopia,Tigray,Mekele Special
112,2020-06-01,3.0,Ethiopia,Tigray,South Eastern
125,2020-06-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
132,2020-06-01,1.0,Ethiopia,Amhara,Awi
213,2020-06-01,2.0,Ethiopia,SNNP,Bench Maji
215,2020-06-01,2.0,Ethiopia,Oromia,Buno Bedele
