,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3,Ethiopia,Somali,Afder
1,2009-07-01,3,Ethiopia,SNNP,Alle
2,2009-07-01,3,Ethiopia,SNNP,Amaro
3,2009-07-01,3,Ethiopia,Oromia,Arsi
4,2009-07-01,3,Ethiopia,Oromia,Bale
5,2009-07-01,3,Ethiopia,Oromia,Borena
105,2009-07-01,1,Ethiopia,Oromia,Buno Bedele
7,2009-07-01,3,Ethiopia,SNNP,Burji
157,2009-07-01,2,Ethiopia,Tigray,Central
106,2009-07-01,1,Ethiopia,Amhara,Central Gondar
10,2009-07-01,3,Ethiopia,Somali,Daawa
159,2009-07-01,2,Ethiopia,SNNP,Dawuro
12,2009-07-01,3,Ethiopia,SNNP,Derashe
160,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
108,2009-07-01,1,Ethiopia,Amhara,East Gojam
15,2009-07-01,3,Ethiopia,Oromia,East Hararge
109,2009-07-01,1,Ethiopia,Oromia,East Shewa
110,2009-07-01,1,Ethiopia,Oromia,East Wellega
18,2009-07-01,3,Ethiopia,Tigray,Eastern
73,2009-07-01,4,Ethiopia,Somali,Erer
20,2009-07-01,3,Ethiopia,Somali,Fafan
21,2009-07-01,3,Ethiopia,SNNP,Gamo
22,2009-07-01,3,Ethiopia,SNNP,Gedeo
170,2009-07-01,2,Ethiopia,SNNP,Gofa
24,2009-07-01,3,Ethiopia,Oromia,Guji
25,2009-07-01,3,Ethiopia,SNNP,Guraghe
26,2009-07-01,3,Ethiopia,SNNP,Hadiya
27,2009-07-01,3,Ethiopia,SNNP,Halaba Special
172,2009-07-01,2,Ethiopia,Harari,Harari
75,2009-07-01,4,Ethiopia,Somali,Jarar
120,2009-07-01,1,Ethiopia,Oromia,Jimma
123,2009-07-01,1,Ethiopia,Benishangul Gumz,Kemashi
32,2009-07-01,3,Ethiopia,SNNP,Kembata Tibaro
33,2009-07-01,3,Ethiopia,SNNP,Konso
34,2009-07-01,3,Ethiopia,Somali,Liban
35,2009-07-01,3,Ethiopia,Tigray,Mekele Special
185,2009-07-01,2,Ethiopia,SNNP,Mirab Omo
77,2009-07-01,4,Ethiopia,Somali,Nogob
38,2009-07-01,3,Ethiopia,Amhara,North Gondar
187,2009-07-01,2,Ethiopia,Amhara,North Shewa
40,2009-07-01,3,Ethiopia,Amhara,North Wello
190,2009-07-01,2,Ethiopia,Tigray,North Western
191,2009-07-01,2,Ethiopia,Gambela,Nuwer
43,2009-07-01,3,Ethiopia,Amhara,Oromia
79,2009-07-01,4,Ethiopia,Somali,Shabelle
45,2009-07-01,3,Ethiopia,SNNP,Sidama
46,2009-07-01,3,Ethiopia,SNNP,Siltie
47,2009-07-01,3,Ethiopia,Somali,Siti
48,2009-07-01,3,Ethiopia,Tigray,South Eastern
137,2009-07-01,1,Ethiopia,Amhara,South Gondar
50,2009-07-01,3,Ethiopia,SNNP,South Omo
51,2009-07-01,3,Ethiopia,Amhara,South Wello
140,2009-07-01,1,Ethiopia,Oromia,South West Shewa
53,2009-07-01,3,Ethiopia,Tigray,Southern
54,2009-07-01,3,Ethiopia,Amhara,Wag Hamra
55,2009-07-01,3,Ethiopia,Oromia,West Arsi
56,2009-07-01,3,Ethiopia,Oromia,West Guji
57,2009-07-01,3,Ethiopia,Oromia,West Hararge
146,2009-07-01,1,Ethiopia,Oromia,West Wellega
147,2009-07-01,1,Ethiopia,Tigray,Western
60,2009-07-01,3,Ethiopia,SNNP,Wolayita
148,2009-07-01,1,Ethiopia,SNNP,Yem Special
207,2009-07-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
63,2009-07-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
208,2009-07-01,2,Ethiopia,Afar,Zone 3 (Gabi Rasu)
65,2009-07-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
66,2009-07-01,3,Ethiopia,Afar,Zone 5 (Hari Rasu)
150,2009-07-01,2,Ethiopia,Gambela,Agnewak
71,2009-07-01,4,Ethiopia,Somali,Doolo
76,2009-07-01,4,Ethiopia,Somali,Korahe
112,2009-07-01,1,Ethiopia,Oromia,Finfine Special
134,2009-07-01,1,Ethiopia,Addis Ababa,Region 14
142,2009-07-01,1,Ethiopia,Amhara,West Gojam
99,2009-07-01,1,Ethiopia,Benishangul Gumz,Asosa
100,2009-07-01,1,Ethiopia,Amhara,Awi
102,2009-07-01,1,Ethiopia,SNNP,Basketo
103,2009-07-01,1,Ethiopia,SNNP,Bench Maji
167,2009-07-01,2,Ethiopia,Gambela,Etang Special woreda
118,2009-07-01,1,Ethiopia,Oromia,Horo Gudru Wellega
119,2009-07-01,1,Ethiopia,Oromia,Ilu Aba Bora
121,2009-07-01,1,Ethiopia,SNNP,Kefa
122,2009-07-01,1,Ethiopia,Oromia,Kelem Wellega
124,2009-07-01,1,Ethiopia,SNNP,Konta Special
126,2009-07-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
127,2009-07-01,1,Ethiopia,Gambela,Mejenger
128,2009-07-01,1,Ethiopia,Benishangul Gumz,Metekel
188,2009-07-01,2,Ethiopia,Oromia,North Shewa
135,2009-07-01,1,Ethiopia,SNNP,Sheka
143,2009-07-01,1,Ethiopia,Amhara,West Gondar
203,2009-07-01,2,Ethiopia,Oromia,West Shewa
161,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
