,date,ADMIN1,ADMIN2,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,pop_ADMIN2
2,Aug 2020,Afar,Zone 1 (awsi rasu),156639.0,117479.0,97899.0,19580.0,0.0,156639.0,137059.0,78319.0,19580.0,0.0,139276.0,139276.0,99483.0,19897.0,0.0,391597.0,391597.0,397931.0,
3,Aug 2020,Afar,Zone 2 (kilbet rasu),172506.0,129380.0,107817.0,21563.0,0.0,150943.0,172506.0,86253.0,21563.0,0.0,109561.0,175297.0,131473.0,21912.0,0.0,431266.0,431266.0,438242.0,
4,Aug 2020,Afar,Zone 3 (gabi rasu),64856.0,83387.0,27796.0,9265.0,0.0,74122.0,74122.0,27796.0,9265.0,0.0,65905.0,65905.0,47075.0,9415.0,0.0,185304.0,185304.0,188301.0,
5,Aug 2020,Afar,Zone 4 (fantana rasu),115852.0,90107.0,38617.0,12872.0,0.0,115852.0,90107.0,51490.0,0.0,0.0,78484.0,91565.0,78484.0,13081.0,0.0,257449.0,257449.0,261614.0,
6,Aug 2020,Afar,Zone 5 (hari rasu),137469.0,96228.0,41241.0,0.0,0.0,109975.0,109975.0,41241.0,13747.0,0.0,83815.0,111754.0,69846.0,13969.0,0.0,274937.0,274937.0,279384.0,
8,Aug 2020,Amhara,North shewa,1329353.0,379815.0,189908.0,0.0,0.0,1614215.0,189908.0,94954.0,0.0,0.0,1246372.0,479374.0,191750.0,0.0,0.0,1899076.0,1899076.0,1917496.0,
9,Aug 2020,Amhara,North wello,666495.0,518385.0,222165.0,74055.0,0.0,1258936.0,148110.0,74055.0,0.0,0.0,1046827.0,299093.0,149547.0,0.0,0.0,1481101.0,1481101.0,1495467.0,
10,Aug 2020,Amhara,South wello,1487302.0,811256.0,270419.0,135209.0,0.0,2298558.0,270419.0,135209.0,0.0,0.0,2047811.0,409562.0,273042.0,0.0,0.0,2704186.0,2704186.0,2730415.0,
12,Aug 2020,Oromia,Arsi,1562425.0,1093698.0,468728.0,0.0,0.0,1718668.0,1093698.0,312485.0,0.0,0.0,1436494.0,1117273.0,638442.0,0.0,0.0,3124850.0,3124850.0,3192209.0,
13,Aug 2020,Oromia,Bale,641808.0,481356.0,401130.0,80226.0,0.0,561582.0,561582.0,401130.0,80226.0,0.0,409777.0,491732.0,573688.0,163911.0,0.0,1604521.0,1604521.0,1639108.0,
14,Aug 2020,Oromia,Borena,193594.0,145196.0,120996.0,24199.0,0.0,193594.0,169395.0,96797.0,24199.0,0.0,98884.0,123605.0,197767.0,74163.0,0.0,483985.0,483985.0,494418.0,
15,Aug 2020,Oromia,East hararge,1511603.0,1007735.0,671823.0,167956.0,0.0,1847514.0,839779.0,671823.0,0.0,0.0,1372610.0,1029458.0,857881.0,171576.0,0.0,3359117.0,3359117.0,3431525.0,
16,Aug 2020,Oromia,East shewa,676312.0,473418.0,202893.0,0.0,0.0,743943.0,473418.0,135262.0,0.0,0.0,621801.0,483623.0,207267.0,69089.0,0.0,1352623.0,1352623.0,1381780.0,
17,Aug 2020,Oromia,Guji,575712.0,383808.0,255872.0,63968.0,0.0,703649.0,319840.0,255872.0,0.0,0.0,522775.0,326735.0,392081.0,65347.0,0.0,1279361.0,1279361.0,1306938.0,
18,Aug 2020,Oromia,West arsi,1048219.0,815281.0,465875.0,0.0,0.0,1164688.0,931750.0,232938.0,0.0,0.0,1070814.0,832855.0,475917.0,0.0,0.0,2329375.0,2329375.0,2379586.0,
19,Aug 2020,Oromia,West guji,502040.0,278911.0,223129.0,111565.0,0.0,502040.0,334694.0,223129.0,55782.0,0.0,227939.0,341908.0,398893.0,170954.0,0.0,1115645.0,1115645.0,1139694.0,
20,Aug 2020,Oromia,West hararge,800858.0,915266.0,457633.0,114408.0,0.0,800858.0,1029674.0,457633.0,0.0,0.0,701246.0,818121.0,584372.0,233749.0,0.0,2288165.0,2288165.0,2337488.0,
22,Aug 2020,SNNP,Dawuro,304151.0,126730.0,50692.0,25346.0,0.0,329497.0,101384.0,50692.0,25346.0,0.0,283817.0,129008.0,77405.0,25802.0,0.0,506918.0,506918.0,516030.0,
23,Aug 2020,SNNP,Gamo,575244.0,313770.0,104590.0,52295.0,0.0,627539.0,313770.0,104590.0,0.0,0.0,479115.0,372645.0,159705.0,53235.0,0.0,1045899.0,1045899.0,1064700.0,
24,Aug 2020,SNNP,Gedeo,356742.0,237828.0,158552.0,39638.0,0.0,317104.0,317104.0,118914.0,39638.0,0.0,322804.0,242103.0,161402.0,80701.0,0.0,792761.0,792761.0,807011.0,
25,Aug 2020,SNNP,Gofa,273461.0,136731.0,45577.0,0.0,0.0,296250.0,113942.0,45577.0,0.0,0.0,231981.0,162387.0,69594.0,0.0,0.0,455769.0,455769.0,463962.0,
26,Aug 2020,SNNP,Hadiya,647913.0,388748.0,194374.0,64791.0,0.0,647913.0,518330.0,129583.0,0.0,0.0,527648.0,461692.0,263824.0,65956.0,0.0,1295826.0,1295826.0,1319119.0,
27,Aug 2020,SNNP,Kembata Tembaro,251444.0,282874.0,94291.0,0.0,0.0,251444.0,251444.0,94291.0,31430.0,0.0,255963.0,223968.0,127982.0,31995.0,0.0,628609.0,628609.0,639908.0,
28,Aug 2020,SNNP,Segen,256750.0,224656.0,128375.0,32094.0,0.0,224656.0,256750.0,128375.0,32094.0,0.0,228694.0,228694.0,163353.0,32671.0,0.0,641874.0,641874.0,653412.0,
