,date,ADM1_EN,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,total_pop
0,2009-07-01,Addis Ababa,3585647,2726821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2009-07-01,Afar,1904414,1448271,0,702984,745287,0,0,0,702984,745287,0,0,0,862230,586041,0,0,1448271
2,2009-07-01,Amhara,21790172,16571038,9531637,1743855,5295546,0,0,9531637,1743855,5295546,0,0,7609926,8961112,0,0,0,16571038
3,2009-07-01,Benishangul Gumz,1102849,838696,838696,0,0,0,0,838696,0,0,0,0,838696,0,0,0,0,838696
4,2009-07-01,Dire Dawa,508918,387022,0,387022,0,0,0,0,387022,0,0,0,0,387022,0,0,0,387022
5,2009-07-01,Gambela,462832,351974,62068,289906,0,0,0,62068,0,289906,0,0,62068,289906,0,0,0,351974
6,2009-07-01,Harari,260022,197742,0,197742,0,0,0,0,197742,0,0,0,0,197742,0,0,0,197742
7,2009-07-01,Oromia,37843293,28779152,11772870,3346726,13659556,0,0,11772870,3346726,13659556,0,0,10073634,16142715,2562803,0,0,28779152
8,2009-07-01,SNNP,20262695,15409413,1695337,1163564,12550512,0,0,1695337,1163564,12550512,0,0,1695337,11717207,1996869,0,0,15409413
9,2009-07-01,Somali,6216411,4727467,0,0,2664781,2062686,0,0,0,1782608,2944859,0,0,1434969,1229812,2062686,0,4727467
10,2009-07-01,Tigray,5357192,4074048,335032,1732163,2006853,0,0,335032,1732163,2006853,0,0,335032,3739016,0,0,0,4074048
11,2009-10-01,Addis Ababa,3585647,2726821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2009-10-01,Afar,1904414,1448271,0,702984,745287,0,0,0,1448271,0,0,0,0,0,1448271,0,0,1448271
13,2009-10-01,Amhara,21790172,16571038,9531637,1743855,5295546,0,0,7609926,8961112,0,0,0,7609926,8961112,0,0,0,16571038
14,2009-10-01,Benishangul Gumz,1102849,838696,838696,0,0,0,0,838696,0,0,0,0,838696,0,0,0,0,838696
15,2009-10-01,Dire Dawa,508918,387022,0,387022,0,0,0,0,387022,0,0,0,0,387022,0,0,0,387022
16,2009-10-01,Gambela,462832,351974,62068,0,289906,0,0,62068,0,289906,0,0,62068,0,289906,0,0,351974
17,2009-10-01,Harari,260022,197742,0,197742,0,0,0,0,197742,0,0,0,0,197742,0,0,0,197742
18,2009-10-01,Oromia,37843293,28779152,11772870,3346726,13659556,0,0,10073634,15727878,2977640,0,0,10073634,15727878,2977640,0,0,28779152
19,2009-10-01,SNNP,20262695,15409413,1695337,1163564,12550512,0,0,1695337,13151451,562625,0,0,1695337,13151451,562625,0,0,15409413
20,2009-10-01,Somali,6216411,4727467,0,0,1782608,2944859,0,0,1434969,3292498,0,0,0,0,4727467,0,0,4727467
21,2009-10-01,Tigray,5357192,4074048,335032,1732163,2006853,0,0,335032,3739016,0,0,0,335032,3739016,0,0,0,4074048
22,2010-01-01,Addis Ababa,3585647,2803796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
