,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3,Ethiopia,Somali,Afder
302,2009-07-01,2,Ethiopia,Gambela,Agnewak
2,2009-07-01,3,Ethiopia,SNNP,Alle
3,2009-07-01,3,Ethiopia,SNNP,Amaro
305,2009-07-01,2,Ethiopia,Oromia,Arsi
5,2009-07-01,3,Ethiopia,Oromia,Bale
126,2009-07-01,1,Ethiopia,SNNP,Basketo
310,2009-07-01,2,Ethiopia,Oromia,Borena
8,2009-07-01,3,Ethiopia,SNNP,Burji
9,2009-07-01,3,Ethiopia,Somali,Daawa
10,2009-07-01,3,Ethiopia,SNNP,Derashe
321,2009-07-01,2,Ethiopia,Oromia,East Hararge
324,2009-07-01,2,Ethiopia,Tigray,Eastern
46,2009-07-01,4,Ethiopia,Somali,Erer
329,2009-07-01,2,Ethiopia,SNNP,Gamo
15,2009-07-01,3,Ethiopia,SNNP,Gedeo
331,2009-07-01,2,Ethiopia,SNNP,Gofa
17,2009-07-01,3,Ethiopia,Oromia,Guji
145,2009-07-01,1,Ethiopia,SNNP,Kefa
19,2009-07-01,3,Ethiopia,SNNP,Konso
148,2009-07-01,1,Ethiopia,SNNP,Konta Special
21,2009-07-01,3,Ethiopia,Somali,Liban
351,2009-07-01,2,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4,Ethiopia,Somali,Nogob
355,2009-07-01,2,Ethiopia,Amhara,North Wello
357,2009-07-01,2,Ethiopia,Gambela,Nuwer
358,2009-07-01,2,Ethiopia,Amhara,Oromia
52,2009-07-01,4,Ethiopia,Somali,Shabelle
359,2009-07-01,2,Ethiopia,SNNP,Sidama
362,2009-07-01,2,Ethiopia,Tigray,South Eastern
363,2009-07-01,2,Ethiopia,Amhara,South Gondar
31,2009-07-01,3,Ethiopia,SNNP,South Omo
365,2009-07-01,2,Ethiopia,Amhara,South Wello
367,2009-07-01,2,Ethiopia,Tigray,Southern
368,2009-07-01,2,Ethiopia,Amhara,Wag Hamra
369,2009-07-01,2,Ethiopia,Oromia,West Arsi
370,2009-07-01,2,Ethiopia,Oromia,West Guji
371,2009-07-01,2,Ethiopia,Oromia,West Hararge
377,2009-07-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
