,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
0,2010-10-01,2.0,Ethiopia,Somali,Afder
521,2010-10-01,3.0,Ethiopia,Gambela,Agnewak
2,2010-10-01,2.0,Ethiopia,SNNP,Alle
6613,2010-10-01,1.0,Ethiopia,SNNP,Amaro
4,2010-10-01,2.0,Ethiopia,Oromia,Arsi
5,2010-10-01,2.0,Ethiopia,Benishangul Gumz,Asosa
6,2010-10-01,2.0,Ethiopia,Oromia,Bale
7,2010-10-01,2.0,Ethiopia,SNNP,Basketo
6619,2010-10-01,1.0,Ethiopia,SNNP,Bench Maji
9,2010-10-01,2.0,Ethiopia,Oromia,Borena
10,2010-10-01,2.0,Ethiopia,SNNP,Burji
528,2010-10-01,3.0,Ethiopia,Tigray,Central
12,2010-10-01,2.0,Ethiopia,Somali,Daawa
13,2010-10-01,2.0,Ethiopia,SNNP,Dawuro
14,2010-10-01,2.0,Ethiopia,SNNP,Derashe
5137,2010-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa rural
16,2010-10-01,2.0,Ethiopia,Somali,Doolo
6625,2010-10-01,1.0,Ethiopia,Amhara,East Gojam
533,2010-10-01,3.0,Ethiopia,Oromia,East Hararge
534,2010-10-01,3.0,Ethiopia,Oromia,East Shewa
6628,2010-10-01,1.0,Ethiopia,Oromia,East Wellega
536,2010-10-01,3.0,Ethiopia,Somali,Erer
22,2010-10-01,2.0,Ethiopia,Somali,Fafan
6630,2010-10-01,1.0,Ethiopia,Oromia,Finfine Special
540,2010-10-01,3.0,Ethiopia,SNNP,Gamo
25,2010-10-01,2.0,Ethiopia,SNNP,Gedeo
542,2010-10-01,3.0,Ethiopia,SNNP,Gofa
6634,2010-10-01,1.0,Ethiopia,Oromia,Guji
28,2010-10-01,2.0,Ethiopia,SNNP,Guraghe
29,2010-10-01,2.0,Ethiopia,SNNP,Hadiya
546,2010-10-01,3.0,Ethiopia,SNNP,Halaba Special
6638,2010-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6639,2010-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
33,2010-10-01,2.0,Ethiopia,Somali,Jarar
6640,2010-10-01,1.0,Ethiopia,Oromia,Jimma
6641,2010-10-01,1.0,Ethiopia,SNNP,Kefa
6643,2010-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
37,2010-10-01,2.0,Ethiopia,SNNP,Kembata Tibaro
38,2010-10-01,2.0,Ethiopia,SNNP,Konso
39,2010-10-01,2.0,Ethiopia,SNNP,Konta Special
40,2010-10-01,2.0,Ethiopia,Somali,Korahe
41,2010-10-01,2.0,Ethiopia,Somali,Liban
6645,2010-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
553,2010-10-01,3.0,Ethiopia,Gambela,Mejenger
6648,2010-10-01,1.0,Ethiopia,SNNP,Mirab Omo
45,2010-10-01,2.0,Ethiopia,Somali,Nogob
558,2010-10-01,3.0,Ethiopia,Amhara,North Shewa
560,2010-10-01,3.0,Ethiopia,Amhara,North Wello
49,2010-10-01,2.0,Ethiopia,Tigray,North Western
50,2010-10-01,2.0,Ethiopia,Amhara,Oromia
51,2010-10-01,2.0,Ethiopia,Somali,Shabelle
6654,2010-10-01,1.0,Ethiopia,SNNP,Sheka
53,2010-10-01,2.0,Ethiopia,SNNP,Sidama
567,2010-10-01,3.0,Ethiopia,SNNP,Siltie
55,2010-10-01,2.0,Ethiopia,Somali,Siti
570,2010-10-01,3.0,Ethiopia,Amhara,South Gondar
57,2010-10-01,2.0,Ethiopia,SNNP,South Omo
58,2010-10-01,2.0,Ethiopia,Amhara,South Wello
6660,2010-10-01,1.0,Ethiopia,Oromia,South West Shewa
574,2010-10-01,3.0,Ethiopia,Tigray,Southern
575,2010-10-01,3.0,Ethiopia,Amhara,Wag Hamra
6661,2010-10-01,1.0,Ethiopia,Oromia,West Arsi
63,2010-10-01,2.0,Ethiopia,Oromia,West Guji
578,2010-10-01,3.0,Ethiopia,Oromia,West Hararge
65,2010-10-01,2.0,Ethiopia,Oromia,West Shewa
6666,2010-10-01,1.0,Ethiopia,Oromia,West Wellega
6667,2010-10-01,1.0,Ethiopia,Tigray,Western
68,2010-10-01,2.0,Ethiopia,SNNP,Wolayita
6668,2010-10-01,1.0,Ethiopia,SNNP,Yem Special
70,2010-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
582,2010-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
72,2010-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
584,2010-10-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
74,2010-10-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
