,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,ADM2_EN32,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
0,2009-07-01,1.0,Malawi,Southern,Balaka,1.0,1.0,Balaka,451465,343331,343331.0,0.0,0.0,0.0,0.0,343331.0,343331.0,0.0,0.0,0.0,0.0,343331.0,343331.0,0.0,0.0,0.0,0.0,343331.0
1,2009-07-01,1.0,Malawi,Southern,Blantyre,1.0,1.0,Blantyre,1033105,785658,785658.0,0.0,0.0,0.0,0.0,785658.0,785658.0,0.0,0.0,0.0,0.0,785658.0,785658.0,0.0,0.0,0.0,0.0,785658.0
2,2009-07-01,1.0,Malawi,Southern,Blantyre City,1.0,1.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2009-07-01,2.0,Malawi,Southern,Chikwawa,2.0,2.0,Chikwawa,601250,457240,0.0,457240.0,0.0,0.0,0.0,457240.0,0.0,457240.0,0.0,0.0,0.0,457240.0,0.0,457240.0,0.0,0.0,0.0,457240.0
4,2009-07-01,1.0,Malawi,Southern,Chiradzulu,1.0,1.0,Chiradzulu,336023,255539,255539.0,0.0,0.0,0.0,0.0,255539.0,255539.0,0.0,0.0,0.0,0.0,255539.0,255539.0,0.0,0.0,0.0,0.0,255539.0
5,2009-07-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,183241,183241.0,0.0,0.0,0.0,0.0,183241.0,183241.0,0.0,0.0,0.0,0.0,183241.0,183241.0,0.0,0.0,0.0,0.0,183241.0
6,2009-07-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,613556,613556.0,0.0,0.0,0.0,0.0,613556.0,613556.0,0.0,0.0,0.0,0.0,613556.0,613556.0,0.0,0.0,0.0,0.0,613556.0
7,2009-07-01,1.0,Malawi,Central,Dowa,1.0,1.0,Dowa,901973,685934,685934.0,0.0,0.0,0.0,0.0,685934.0,685934.0,0.0,0.0,0.0,0.0,685934.0,685934.0,0.0,0.0,0.0,0.0,685934.0
8,2009-07-01,1.0,Malawi,Northern,Karonga,1.0,1.0,Karonga,381993,290498,290498.0,0.0,0.0,0.0,0.0,290498.0,290498.0,0.0,0.0,0.0,0.0,290498.0,290498.0,0.0,0.0,0.0,0.0,290498.0
9,2009-07-01,1.0,Malawi,Central,Kasungu,1.0,1.0,Kasungu,963875,733010,733010.0,0.0,0.0,0.0,0.0,733010.0,733010.0,0.0,0.0,0.0,0.0,733010.0,733010.0,0.0,0.0,0.0,0.0,733010.0
10,2009-07-01,1.0,Malawi,Central,Lilongwe,1.0,1.0,Lilongwe,1295147,984936,984936.0,0.0,0.0,0.0,0.0,984936.0,984936.0,0.0,0.0,0.0,0.0,984936.0,984936.0,0.0,0.0,0.0,0.0,984936.0
11,2009-07-01,1.0,Malawi,Central,Lilongwe City,1.0,1.0,Lilongwe City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2009-07-01,1.0,Malawi,Southern,Machinga,1.0,1.0,Machinga,689935,524683,524683.0,0.0,0.0,0.0,0.0,524683.0,524683.0,0.0,0.0,0.0,0.0,524683.0,524683.0,0.0,0.0,0.0,0.0,524683.0
13,2009-07-01,1.0,Malawi,Southern,Mangochi,1.0,1.0,Mangochi,1172776,891875,891875.0,0.0,0.0,0.0,0.0,891875.0,891875.0,0.0,0.0,0.0,0.0,891875.0,891875.0,0.0,0.0,0.0,0.0,891875.0
14,2009-07-01,1.0,Malawi,Central,Mchinji,1.0,1.0,Mchinji,678901,516292,516292.0,0.0,0.0,0.0,0.0,516292.0,516292.0,0.0,0.0,0.0,0.0,516292.0,516292.0,0.0,0.0,0.0,0.0,516292.0
15,2009-07-01,1.0,Malawi,Southern,Mulanje,1.0,1.0,Mulanje,603721,459119,459119.0,0.0,0.0,0.0,0.0,459119.0,459119.0,0.0,0.0,0.0,0.0,459119.0,459119.0,0.0,0.0,0.0,0.0,459119.0
16,2009-07-01,1.0,Malawi,Southern,Mwanza,1.0,1.0,Mwanza,110540,84063,84063.0,0.0,0.0,0.0,0.0,84063.0,84063.0,0.0,0.0,0.0,0.0,84063.0,84063.0,0.0,0.0,0.0,0.0,84063.0
17,2009-07-01,1.0,Malawi,Northern,Mzimba,1.0,1.0,Mzimba,288517,219412,219412.0,0.0,0.0,0.0,0.0,219412.0,219412.0,0.0,0.0,0.0,0.0,219412.0,219412.0,0.0,0.0,0.0,0.0,219412.0
18,2009-07-01,1.0,Malawi,Northern,Mzuzu City,1.0,1.0,Mzuzu City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2009-07-01,1.0,Malawi,Southern,Neno,1.0,1.0,Neno,181483,138014,138014.0,0.0,0.0,0.0,0.0,138014.0,138014.0,0.0,0.0,0.0,0.0,138014.0,138014.0,0.0,0.0,0.0,0.0,138014.0
20,2009-07-01,1.0,Malawi,Northern,Nkhata Bay,1.0,1.0,Nkhata Bay,306040,232738,232738.0,0.0,0.0,0.0,0.0,232738.0,232738.0,0.0,0.0,0.0,0.0,232738.0,232738.0,0.0,0.0,0.0,0.0,232738.0
21,2009-07-01,1.0,Malawi,Central,Nkhotakota,1.0,1.0,Nkhotakota,430507,327393,327393.0,0.0,0.0,0.0,0.0,327393.0,327393.0,0.0,0.0,0.0,0.0,327393.0,327393.0,0.0,0.0,0.0,0.0,327393.0
22,2009-07-01,2.0,Malawi,Southern,Nsanje,2.0,2.0,Nsanje,311427,236834,0.0,236834.0,0.0,0.0,0.0,236834.0,0.0,236834.0,0.0,0.0,0.0,236834.0,0.0,236834.0,0.0,0.0,0.0,236834.0
23,2009-07-01,1.0,Malawi,Central,Ntcheu,1.0,1.0,Ntcheu,636637,484151,484151.0,0.0,0.0,0.0,0.0,484151.0,484151.0,0.0,0.0,0.0,0.0,484151.0,484151.0,0.0,0.0,0.0,0.0,484151.0
24,2009-07-01,1.0,Malawi,Central,Ntchisi,1.0,1.0,Ntchisi,326512,248306,248306.0,0.0,0.0,0.0,0.0,248306.0,248306.0,0.0,0.0,0.0,0.0,248306.0,248306.0,0.0,0.0,0.0,0.0,248306.0
25,2009-07-01,1.0,Malawi,Southern,Phalombe,1.0,1.0,Phalombe,415009,315607,315607.0,0.0,0.0,0.0,0.0,315607.0,315607.0,0.0,0.0,0.0,0.0,315607.0,315607.0,0.0,0.0,0.0,0.0,315607.0
26,2009-07-01,1.0,Malawi,Northern,Rumphi,1.0,1.0,Rumphi,231876,176337,176337.0,0.0,0.0,0.0,0.0,176337.0,176337.0,0.0,0.0,0.0,0.0,176337.0,176337.0,0.0,0.0,0.0,0.0,176337.0
27,2009-07-01,1.0,Malawi,Central,Salima,1.0,1.0,Salima,472065,358997,358997.0,0.0,0.0,0.0,0.0,358997.0,358997.0,0.0,0.0,0.0,0.0,358997.0,358997.0,0.0,0.0,0.0,0.0,358997.0
28,2009-07-01,1.0,Malawi,Southern,Thyolo,1.0,1.0,Thyolo,691915,526189,526189.0,0.0,0.0,0.0,0.0,526189.0,526189.0,0.0,0.0,0.0,0.0,526189.0,526189.0,0.0,0.0,0.0,0.0,526189.0
29,2009-07-01,1.0,Malawi,Southern,Zomba,1.0,1.0,Zomba,174816,132944,132944.0,0.0,0.0,0.0,0.0,132944.0,132944.0,0.0,0.0,0.0,0.0,132944.0,132944.0,0.0,0.0,0.0,0.0,132944.0
30,2009-07-01,1.0,Malawi,Southern,Zomba City,1.0,1.0,Zomba City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2009-07-01,,Malawi,Northern,Likoma,,,Likoma,10508,7991,,,,,,,,,,,,,,,,,,
32,2009-10-01,1.0,Malawi,Southern,Balaka,1.0,1.0,Balaka,451465,343331,343331.0,0.0,0.0,0.0,0.0,343331.0,343331.0,0.0,0.0,0.0,0.0,343331.0,343331.0,0.0,0.0,0.0,0.0,343331.0
33,2009-10-01,1.0,Malawi,Southern,Blantyre,1.0,1.0,Blantyre,1033105,785658,785658.0,0.0,0.0,0.0,0.0,785658.0,785658.0,0.0,0.0,0.0,0.0,785658.0,785658.0,0.0,0.0,0.0,0.0,785658.0
34,2009-10-01,1.0,Malawi,Southern,Blantyre City,1.0,1.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2009-10-01,2.0,Malawi,Southern,Chikwawa,3.0,3.0,Chikwawa,601250,457240,0.0,457240.0,0.0,0.0,0.0,457240.0,0.0,0.0,457240.0,0.0,0.0,457240.0,0.0,0.0,457240.0,0.0,0.0,457240.0
36,2009-10-01,1.0,Malawi,Southern,Chiradzulu,1.0,1.0,Chiradzulu,336023,255539,255539.0,0.0,0.0,0.0,0.0,255539.0,255539.0,0.0,0.0,0.0,0.0,255539.0,255539.0,0.0,0.0,0.0,0.0,255539.0
37,2009-10-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,183241,183241.0,0.0,0.0,0.0,0.0,183241.0,183241.0,0.0,0.0,0.0,0.0,183241.0,183241.0,0.0,0.0,0.0,0.0,183241.0
38,2009-10-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,613556,613556.0,0.0,0.0,0.0,0.0,613556.0,613556.0,0.0,0.0,0.0,0.0,613556.0,613556.0,0.0,0.0,0.0,0.0,613556.0
