,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,ADM2_EN32,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
0,2009-07-01,1.0,Malawi,Southern,Balaka,1.0,1.0,Balaka,451465,432555,432555.0,0.0,0.0,0.0,0.0,432555.0,432555.0,0.0,0.0,0.0,0.0,432555.0,432555.0,0.0,0.0,0.0,0.0,432555.0
1,2009-07-01,1.0,Malawi,Southern,Blantyre,1.0,1.0,Blantyre,1033105,989834,989834.0,0.0,0.0,0.0,0.0,989834.0,989834.0,0.0,0.0,0.0,0.0,989834.0,989834.0,0.0,0.0,0.0,0.0,989834.0
2,2009-07-01,1.0,Malawi,Southern,Blantyre City,1.0,1.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2009-07-01,2.0,Malawi,Southern,Chikwawa,2.0,2.0,Chikwawa,601250,576067,0.0,576067.0,0.0,0.0,0.0,576067.0,0.0,576067.0,0.0,0.0,0.0,576067.0,0.0,576067.0,0.0,0.0,0.0,576067.0
4,2009-07-01,1.0,Malawi,Southern,Chiradzulu,1.0,1.0,Chiradzulu,336023,321948,321948.0,0.0,0.0,0.0,0.0,321948.0,321948.0,0.0,0.0,0.0,0.0,321948.0,321948.0,0.0,0.0,0.0,0.0,321948.0
5,2009-07-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,230861,230861.0,0.0,0.0,0.0,0.0,230861.0,230861.0,0.0,0.0,0.0,0.0,230861.0,230861.0,0.0,0.0,0.0,0.0,230861.0
6,2009-07-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,773006,773006.0,0.0,0.0,0.0,0.0,773006.0,773006.0,0.0,0.0,0.0,0.0,773006.0,773006.0,0.0,0.0,0.0,0.0,773006.0
7,2009-07-01,1.0,Malawi,Central,Dowa,1.0,1.0,Dowa,901973,864194,864194.0,0.0,0.0,0.0,0.0,864194.0,864194.0,0.0,0.0,0.0,0.0,864194.0,864194.0,0.0,0.0,0.0,0.0,864194.0
8,2009-07-01,1.0,Malawi,Northern,Karonga,1.0,1.0,Karonga,381993,365993,365993.0,0.0,0.0,0.0,0.0,365993.0,365993.0,0.0,0.0,0.0,0.0,365993.0,365993.0,0.0,0.0,0.0,0.0,365993.0
9,2009-07-01,1.0,Malawi,Central,Kasungu,1.0,1.0,Kasungu,963875,923503,923503.0,0.0,0.0,0.0,0.0,923503.0,923503.0,0.0,0.0,0.0,0.0,923503.0,923503.0,0.0,0.0,0.0,0.0,923503.0
