FID,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM1_TYPE,ADM2_EN32,ADM2_PC32,ADM2_TYPE,validOn,validTo,SOURCE,NOTES,POP08,MALE08,FEMALE08,p2017pop,p2018pop,p2019pop,p2020pop,Pop_Source,Shape_Leng,Shape_Le_1,Shape_Le_2,Shape_Area
0,Malawi,MW,Southern,MW3,Regions,Balaka,MW312,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,317324,152056,165268,422925,436937,451465,466518,Population from Census 2008 and NSO projections from 2017 to 2020,2.036817374,2.036817374,2.036817377,0.179379022
1,Malawi,MW,Southern,MW3,Regions,Blantyre,MW305,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,340728,164766,175962,956898,994517,1033105,1072684,Population from Census 2008 and NSO projections from 2017 to 2020,2.677447599,2.677447599,2.677447601,0.150846921
2,Malawi,MW,Southern,MW3,Regions,Blantyre City,MW315,City Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,661256,336234,325022,0,0,0,0,"Population from Census 2008 (no projection figures available for cities, part of full district figure)",0.818570034,0.818570034,0.818570032,0.019929043
3,Malawi,MW,Southern,MW3,Regions,Chikwawa,MW310,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,434648,215598,219050,566283,583461,601250,619645,Population from Census 2008 and NSO projections from 2017 to 2020,3.521775718,3.521775718,3.521775714,0.413456637
4,Malawi,MW,Southern,MW3,Regions,Chiradzulu,MW304,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,288546,135346,153200,327038,331497,336023,340614,Population from Census 2008 and NSO projections from 2017 to 2020,1.527800613,1.527800613,1.527800608,0.064117099
5,Malawi,MW,Northern,MW1,Regions,Chitipa,MW101,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,178904,86244,92660,228732,234797,240954,247196,Population from Census 2008 and NSO projections from 2017 to 2020,5.039122139,5.039122139,5.03912214,0.350476925
6,Malawi,MW,Central,MW2,Regions,Dedza,MW208,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,624445,297529,326916,770108,788195,806799,825925,Population from Census 2008 and NSO projections from 2017 to 2020,3.654706933,3.654706933,3.65470693,0.314964508
7,Malawi,MW,Central,MW2,Regions,Dowa,MW204,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,558470,274192,284278,831365,866218,901973,938620,Population from Census 2008 and NSO projections from 2017 to 2020,3.355038819,3.355038819,3.355038811,0.255986282
8,Malawi,MW,Northern,MW1,Regions,Karonga,MW102,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,269890,130591,139299,359080,370370,381993,393957,Population from Census 2008 and NSO projections from 2017 to 2020,3.520827994,3.520827994,3.520827991,0.2814664
9,Malawi,MW,Central,MW2,Regions,Kasungu,MW201,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,627467,313082,314385,892523,927543,963875,1001534,Population from Census 2008 and NSO projections from 2017 to 2020,4.854784136,4.854784136,4.854784135,0.67204026
10,Malawi,MW,Northern,MW1,Regions,Likoma,MW106,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,10414,4917,5497,10478,10493,10508,10523,Population from Census 2008 and NSO projections from 2017 to 2020,0.368011602,0.368011602,0.368011598,0.001682637
11,Malawi,MW,Central,MW2,Regions,Lilongwe,MW206,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,1230834,600326,630508,1161408,1227054,1295147,1365724,Population from Census 2008 and NSO projections from 2017 to 2020,5.464456009,5.464456009,5.464456006,0.487261264
12,Malawi,MW,Central,MW2,Regions,Lilongwe City,MW210,City Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,674448,344890,329558,0,0,0,0,"Population from Census 2008 (no projection figures available for cities, part of full district figure)",1.13754728,1.13754728,1.137547278,0.03355858
13,Malawi,MW,Southern,MW3,Regions,Machinga,MW302,District Council,August 2018,2020 (Census 2018 data due to be released in 2019/2020),Malawi National Statistics Office 2008 Boundaries cleaned by OCHA ROSEA, ,490579,233385,257194,647401,668233,689935,712540,Population from Census 2008 and NSO projections from 2017 to 2020,3.008636589,3.008636589,3.008636595,0.330099649
