,date,admin0Name,admin1Name,admin2Name,ML1
0,2014-06-06,Somalia,Banadir,Banadir,2.0
1,2014-06-06,Somalia,Awdal,Borama,2.0
2,2014-06-06,Somalia,Awdal,Baki,2.0
70,2014-06-06,Somalia,Awdal,Lughaye,3.0
71,2014-06-06,Somalia,Awdal,Zeylac,3.0
5,2014-06-06,Somalia,Woqooyi Galbeed,Hargeysa,2.0
6,2014-06-06,Somalia,Woqooyi Galbeed,Berbera,2.0
7,2014-06-06,Somalia,Woqooyi Galbeed,Gebiley,2.0
8,2014-06-06,Somalia,Togdheer,Burco,2.0
9,2014-06-06,Somalia,Togdheer,Buuhoodle,2.0
10,2014-06-06,Somalia,Togdheer,Owdweyne,2.0
11,2014-06-06,Somalia,Togdheer,Sheikh,2.0
12,2014-06-06,Somalia,Sool,Laas Caanood,2.0
13,2014-06-06,Somalia,Sool,Caynabo,2.0
14,2014-06-06,Somalia,Sool,Taleex,2.0
15,2014-06-06,Somalia,Sool,Xudun,2.0
16,2014-06-06,Somalia,Sanaag,Ceerigaabo,2.0
17,2014-06-06,Somalia,Sanaag,Ceel Afweyn,2.0
18,2014-06-06,Somalia,Sanaag,Laasqoray,2.0
80,2014-06-06,Somalia,Bari,Bossaso,3.0
20,2014-06-06,Somalia,Bari,Bandarbeyla,2.0
21,2014-06-06,Somalia,Bari,Iskushuban,2.0
83,2014-06-06,Somalia,Bari,Qandala,3.0
23,2014-06-06,Somalia,Bari,Qardho,2.0
24,2014-06-06,Somalia,Nugaal,Garoowe,2.0
85,2014-06-06,Somalia,Nugaal,Burtinle,3.0
26,2014-06-06,Somalia,Nugaal,Eyl,2.0
87,2014-06-06,Somalia,Mudug,Gaalkacyo,3.0
89,2014-06-06,Somalia,Mudug,Hobyo,3.0
29,2014-06-06,Somalia,Mudug,Jariiban,2.0
30,2014-06-06,Somalia,Mudug,Xarardheere,2.0
91,2014-06-06,Somalia,Galgaduud,Dhuusamarreeb,3.0
94,2014-06-06,Somalia,Galgaduud,Ceel Buur,3.0
33,2014-06-06,Somalia,Galgaduud,Ceel Dheer,2.0
95,2014-06-06,Somalia,Hiraan,Belet Weyne,3.0
122,2014-06-06,Somalia,Hiraan,Bulo Burto,1.0
123,2014-06-06,Somalia,Hiraan,Jalalaqsi,1.0
37,2014-06-06,Somalia,Middle Shabelle,Jowhar,2.0
125,2014-06-06,Somalia,Middle Shabelle,Adan Yabaal,1.0
39,2014-06-06,Somalia,Middle Shabelle,Balcad,2.0
127,2014-06-06,Somalia,Middle Shabelle,Cadale,1.0
100,2014-06-06,Somalia,Lower Shabelle,Marka,3.0
42,2014-06-06,Somalia,Lower Shabelle,Afgooye,2.0
131,2014-06-06,Somalia,Lower Shabelle,Qoryooley,1.0
132,2014-06-06,Somalia,Lower Shabelle,Sablaale,1.0
133,2014-06-06,Somalia,Lower Shabelle,Wanla Weyn,1.0
46,2014-06-06,Somalia,Bay,Baydhaba,2.0
47,2014-06-06,Somalia,Bay,Buur Hakaba,2.0
48,2014-06-06,Somalia,Bay,Diinsoor,2.0
49,2014-06-06,Somalia,Bay,Qansax Dheere,2.0
50,2014-06-06,Somalia,Bakool,Xudur,2.0
136,2014-06-06,Somalia,Bakool,Ceel Barde,1.0
52,2014-06-06,Somalia,Bakool,Tayeeglow,2.0
53,2014-06-06,Somalia,Bakool,Waajid,2.0
54,2014-06-06,Somalia,Bakool,Rab Dhuure,2.0
55,2014-06-06,Somalia,Gedo,Garbahaarey,2.0
56,2014-06-06,Somalia,Gedo,Baardheere,2.0
57,2014-06-06,Somalia,Gedo,Belet Xaawo,2.0
58,2014-06-06,Somalia,Gedo,Ceel Waaq,2.0
59,2014-06-06,Somalia,Gedo,Doolow,2.0
60,2014-06-06,Somalia,Gedo,Luuq,2.0
141,2014-06-06,Somalia,Middle Juba,Bu'aale,1.0
62,2014-06-06,Somalia,Middle Juba,Jilib,2.0
143,2014-06-06,Somalia,Middle Juba,Saakow,1.0
144,2014-06-06,Somalia,Lower Juba,Kismaayo,1.0
145,2014-06-06,Somalia,Lower Juba,Afmadow,1.0
146,2014-06-06,Somalia,Lower Juba,Badhaadhe,1.0
117,2014-06-06,Somalia,Lower Juba,Jamaame,3.0
81,2014-06-06,Somalia,Bari,Caluula,3.0
88,2014-06-06,Somalia,Mudug,Galdogob,3.0
92,2014-06-06,Somalia,Galgaduud,Cabudwaaq,3.0
93,2014-06-06,Somalia,Galgaduud,Cadaado,3.0
129,2014-06-06,Somalia,Lower Shabelle,Baraawe,1.0
130,2014-06-06,Somalia,Lower Shabelle,Kurtunwaarey,1.0
